Zaman damgası,ne sıklıkla müzik dinlersiniz?,hangi müzik dinleme uygulamasını kullanıyorsunuz?,hangi tür müzikleri ağırlıklı olarak dinlersiniz?,yeni bir şarkı dinleyeceğiniz zaman popülerliğine önem verir misiniz?,sosyal medyadan duyup dinlemeye başladığınız şarkılar var mı ?,yeni çıkan şarkıları ne sıklıkla takip edersiniz?,birisi size sevdiği bir şarkıyı dinletse ne yaparsınız?,eklemek istediğiniz bir şey var ise yazabilirsiniz.
18.11.2025 10:07:07,çok sık,spotify,klasik,biraz,Hayır,sadece sevdiğim sanatçılarınkini takip ederim,açıp denemek için dinlerim,"Sarki dinlemeyi severim
"
18.11.2025 10:12:47,genellikle,spotify,diğer,Hayır,evet,yeni şarkıları sıklıkla takip ederim,açıp denemek için dinlerim,
18.11.2025 10:22:42,ortalama sıklıkta,youtube music,pop,evet,evet,sadece sevdiğim sanatçılarınkini takip ederim,açıp denemek için dinlerim,
18.11.2025 10:56:56,çok sık,spotify,pop,Hayır,evet,sadece sevdiğim sanatçılarınkini takip ederim,açıp denemek için dinlerim,
18.11.2025 11:05:24,çok sık,youtube music,rap,Hayır,evet,sadece sevdiğim sanatçılarınkini takip ederim,şarkının girişi hoşuma giderse dinlerim,Çok iyi anket 
18.11.2025 11:11:01,çok sık,spotify,rap,Hayır,evet,sadece sevdiğim sanatçılarınkini takip ederim,şarkının girişi hoşuma giderse dinlerim,
18.11.2025 12:09:10,çok sık,youtube music,pop,evet,evet,yeni şarkıları sıklıkla takip ederim,açıp denemek için dinlerim,
18.11.2025 13:17:19,çok sık,spotify,pop,Hayır,evet,yeni şarkıları sıklıkla takip ederim,açıp denemek için dinlerim,
18.11.2025 13:21:16,çok sık,spotify,rap,Hayır,evet,sadece sevdiğim sanatçılarınkini takip ederim,açıp denemek için dinlerim,
18.11.2025 13:25:14,genellikle,youtube music,jazz,Hayır,evet,yeni şarkıları sıklıkla takip ederim,şarkının girişi hoşuma giderse dinlerim,
18.11.2025 13:36:41,ortalama sıklıkta,spotify,pop,Hayır,evet,genellikle zaten dinlemekte olduğum şarkıları dinlerim,açıp denemek için dinlerim,
18.11.2025 15:14:35,ortalama sıklıkta,youtube music,diğer,Hayır,Hayır,genellikle zaten dinlemekte olduğum şarkıları dinlerim,açıp denemek için dinlerim,
18.11.2025 15:28:46,ortalama sıklıkta,youtube music,diğer,Hayır,evet,sadece sevdiğim sanatçılarınkini takip ederim,yeni şarkılar denemek beni sıkar,
18.11.2025 15:39:50,genellikle,diğer,diğer,Hayır,evet,genellikle zaten dinlemekte olduğum şarkıları dinlerim,şarkının girişi hoşuma giderse dinlerim,
18.11.2025 16:22:07,çok sık,diğer,diğer,biraz,evet,yeni şarkıları sıklıkla takip ederim,şarkının girişi hoşuma giderse dinlerim,Kpop dinlerim bu yanıtları ona göre verdim.
18.11.2025 16:32:28,çok sık,spotify,rap,Hayır,evet,yeni şarkıları çok sık takip etmem,açıp denemek için dinlerim,
18.11.2025 17:05:06,çok sık,diğer,pop,biraz,evet,yeni şarkıları sıklıkla takip ederim,açıp denemek için dinlerim,
18.11.2025 17:50:02,çok sık,apple music,diğer,Hayır,evet,yeni şarkıları çok sık takip etmem,açıp denemek için dinlerim,
18.11.2025 18:58:11,çok sık,spotify,rock,biraz,evet,yeni şarkıları çok sık takip etmem,açıp denemek için dinlerim,
18.11.2025 18:58:13,çok sık,youtube music,rock,Hayır,evet,yeni şarkıları sıklıkla takip ederim,şarkının girişi hoşuma giderse dinlerim,
18.11.2025 18:59:19,çok sık,spotify,rock,biraz,evet,genellikle zaten dinlemekte olduğum şarkıları dinlerim,açıp denemek için dinlerim,
18.11.2025 18:59:49,genellikle,youtube music,rock,biraz,evet,yeni şarkıları çok sık takip etmem,açıp denemek için dinlerim,
18.11.2025 19:00:31,genellikle,spotify,klasik,biraz,evet,yeni şarkıları sıklıkla takip ederim,açıp denemek için dinlerim,
